국회의원코드,-,국회의원명,국회의원한자명,국회의원영문명,생일구분코드,생일일자,직책명,정당명,선거구명,선거구구분명,위원회명,소속위원회명,재선구분명,당선대수,성별,전화번호,국회의원이메일주소,국회의원홈페이지URL,보좌관,비서관,비서,약력,사무실 호실,국회의원사진
F0I5053J,역대의원,우신구,禹信九,WOO SHINKU,양,1950-10-01,null,국민의힘,비례대표,비례대표,null,null,초선,제21대,남,null,null,null,null,null,null,[학력] 고려사이버대학교 사회복지학 학사 국민대학교 명예졸업 국민대학교 정치대학원 정치광고홍보학 석사 경일대학교 대학원 행정학 박사  [경력] (現) 제21대 국회의원  ㈜우신 대표이사&middot;회장 2003.1.~2023.9. 한나라당 중앙위원회 부의장 2006.5.~2011.1.  한나라당 상임전국위원회 수석상임전국위원 2006.10.~2007.12.  고양상공회의소 회장 2010.2.~2013.11. 고양시 시민자원봉사연합회 공동회장 2010.2.~ 한국자유총연맹 경기도지부 회장 2012.9.~2014.3. 한국자동차부품판매업협동조합 이사장 2013.3.~2021.2. 민주평화통일자문회의 중앙운영위원 2013.7.~2015.6. 새누리당 중앙위원회 수석상임전국위원 2014.1.~2017.2. 민주평화통일자문회의 고양시협의회 회장 2015.7.~2016.3. 자유한국당 경기도당 김포을 당협위원장 2017.6.~2017.12. 자유한국당 중앙위원회 환경분과위원장 2018.1.~2020.3. 국민의힘 중앙위원회 부의장 2020.9.~ 국민의힘 비례대표 국회의원 2023.11.~ 제21대 국회 국방위원회 위원 2023.11.~,null,https://www.assembly.go.kr/static/portal/img/openassm/F0I5053J.jpg
XBT9550Q,현직의원,우원식,禹元植,WOO WONSHIK,음,1957-09-18,위원,열린우리당/민주통합당/더불어민주당/더불어민주당/더불어민주당,서울특별시 노원구을/서울 노원구을/서울 노원구을/서울 노원구을/서울 노원구갑,지역구/지역구/지역구/지역구/지역구,null,null,5선,"제17대, 제19대, 제20대, 제21대, 제22대",남,02-784-3601~3,reform1-1@hanmail.net,https://blog.naver.com/reform111,"서영준, 임도균","이기진, 조현준","문봉애, 박소정, 소상엽, 김혜경, 박여름","연세대학교 토목공학과 학사 연세대학교 공학대학원 환경공학 석사  제22대 국회 전반기 의장 제17,19,20,21대 국회의원(서울 노원구갑) 더불어민주당 원내대표 (문재인정부 제1기) (전) (사)홍범도장군 기념사업회 이사장 (전) 더불어민주당 후쿠시마원전오염수해양투기저지총괄대책위원장 (전) 더불어민주당 을지로위원회 초대위원장 (전) 21대국회 후반기 예산결산특별위원회 위원장 (전) 21대국회 후반기 환경노동위원회 위원 (전) 국회 기후위기-그린뉴딜연구회 대표의원 (전) 국회 생명안전포럼 대표의원 (전) 더불어민주당 기본사회위원회 수석부위원장 (전) 한-카자흐스탄 국회 의원친선협회장 (전) 한-오세아니아 의회외교포럼 회장(전) 독립기념관 이사 (전) 더불어민주당 국가균형발전특별위원회 위원장 (전) 더불어민주당 민생연석회의 수석부의장 (전)  탈핵에너지전환 국회의원모임 대표의원  (전)  국회 남북경제협력특별위원회 위원 (전) 더불어민주당 을지로위원회 초대위원장 새정치민주연합 상임최고위원(전) 새정치민주연합 당권재민 혁신위원회 위원(전) 민주통합당 원내대변인(전) 민주통합당 원내수석부대표(전) 열린우리당 사무총장 직무대행(전) 민주당 대외협력위원회 위원장(전) 민주통합당 문재인 대선후보 선거대책위원회 총무본부장(전) 민주통합당 손학규 대선경선후보 선거대책위원회 부위원장(전) 박원순 서울시장 후보 선거대책본부 조직본부장(전) 더불어민주당 문재인 대선후보 선거대책위원회 을지로민생본부 공동본부장(전) 더불어민주당 기후변화대응 및 에너지전환산업육성특별위원회 위원장 (전) 더불어민주당 민생연석회의 민생정책교육홍보위원장(전) 더불어민주당 민생연석회의 편의점 최저수익보장 분과위원회 위원장 (전) 더불어민주당 당헌당규강령정책위원회 위원장(전)  가습기살균제 국정조사특별위원회 위원장(전) 국회 교육문화체육관광위원회 위원(전) 국회 세월호 침몰사고의 진상 규명을 위한 국정조사특별위원회 위원(전) 국회연구단체 서울균형발전 국회의원모임 대표(전) 노무현 정부 대통령직인수위 정무분과 자문위원(전)  환경관리공단 관리이사(전) 건국대학교 생명환경과학대학 겸임교수(전)  환경정의시민연대 운영위원(전) 환경을 사랑하는 중랑천사람들 운영위원장(전) 강남북균형발전 주민연대회의 의장(전) 대한장애인보치아연맹 회장(전) 사단법인 신명나는 한반도 자전거에 사랑을 싣고 이사장(전) 민주주의자 김근태 추모사업회 공동위원장(전) 한국스카우트 서울북부연맹 연맹장(전)  저서/ 섬진강-은어의 꿈(2005) 저서/ 금  강-강과 사람들(2006) 저서/ 어머니의 강(2011) 저서/ 그래도 정치는 희망이다(2013)",의원회관 501호,https://www.assembly.go.kr/static/portal/img/openassm/new/3fd6bfb1196144ea9282aac6e4eaf5ef.png
R7753197,역대의원,우윤근,禹潤根,WOO Yoon Keun,음,1957-09-24,국회의원,열린우리당/통합민주당/민주통합당,"전라남도 광양시,구례군/전남 광양시/전남 광양시구례군",지역구/지역구/지역구,null,"헌법재판소장(전효숙)임명동의및헌법재판소재판관(목영준,이동흡)선출에관한인사청문특별위, 2012년여수세계박람회유치특별위원회, 민족화해와번영을위한남북평화통일특별위원회, 농림해양수산위원회, 대법관(김지형)임명동의에관한인사청문특별위원회, 대법관(김황식)임명동의에관한인사청문특별위원회, 대법관(박시환)임명동의에관한인사청문특별위원회, 대법원장(이용훈)임명동의에관한인사청문특별위원회, 대법관(양승태)임명동의에관한인사청문특별위원회, 정치개혁특별위원회, 재정경제위원회, 법제사법위원회, 예산결산특별위원회, 국회상임위원회위원정수에관한규칙개정특별위원회, 국무총리(이해찬)임명동의에관한인사청문특별위원회/대법관(김용덕·박보영) 임명동의에 관한 인사청문특별위원회, 사법제도개혁특별위원회, 세계박람회지원특별위원회, 국회운영위원회, 지방행정체제개편특별위원회, 대법관(신영철) 임명동의에 관한 인사청문특별위원회, 쌀소득 보전 직접지불금 불법수령사건 실태규명을 위한 국정조사특별위원회, 2012년 여수세계박람회지원특별위원회, 법제사법위원회, 예산결산특별위원회, 대법관(양창수) 임명동의에 관한 인사청문특별위원회, 가축전염병예방법개정특별위원회/정보위원회, 법제사법위원회, 국회운영위원회, 산업통상자원위원회, 국무총리실 산하 민간인 불법사찰 및 증거인멸 사건의 진상규명을 위한 국정조사특별위원회, 지식경제위원회",3선,"제17대, 제18대, 제19대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/R7753197.jpg
8UC4779G,현직의원,우재준,禹在埈,WOO JAEJUN,음,1988-05-04,위원,국민의힘,대구 북구갑,지역구,"연금개혁 특별위원회, 기후에너지환경노동위원회, 예산결산특별위원회","연금개혁 특별위원회, 기후에너지환경노동위원회, 예산결산특별위원회",초선,제22대,남,02-784-1511,woooo617@naver.com,https://blog.naver.com/jaejoon33,"김재헌, 조하나","김은실, 박현규","곽동희, 김남현, 방서원, 김준우",서울대학교 정치학 학사 경북대학교 법학전문대학원 법학 전문석사 제22대 국회의원선거 대구 북구 국회의원 22대 국회 국민의힘 노동특위 위원 22대 국회 환경노동위원회 위원 22대 국회 국민의힘 격차해소특별위원회 위원,의원회관 617호,https://www.assembly.go.kr/static/portal/img/openassm/new/2ef1338017ed47cfb9106a90b6262bd7.png
GFO6700V,역대의원,우제창,禹濟昌,Che Chang Ooh,음,1963-04-25,국회의원,열린우리당/통합민주당,경기도 용인시갑/경기 용인시처인구,지역구/지역구,null,"국무총리(한덕수)임명동의에관한인사청문특별위원회, 예산결산특별위원회, 국회운영위원회, 규제개혁특별위원회, 재정경제위원회/저축은행비리 의혹 진상규명을 위한 국정조사특별위원회, 민생대책특별위원회, 대법관(이상훈)임명동의에 관한 인사청문특별위원회, 기획재정위원회, 정무위원회, 기후변화대책특별위원회, 국회운영위원회, 기후변화대책특별위원회, 예산결산특별위원회, 지식경제위원회",재선,"제17대, 제18대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/GFO6700V.jpg
TAJ3272G,역대의원,우제항,禹濟恒,"Woo, Je-hang",음,1948-10-26,국회의원,열린우리당,경기도 평택시갑,지역구,null,"감사원장(전윤철) 임명동의에 관한 인사청문특별위원회, 산업자원위원회, 정치개혁특별위원회, 기후변화협약대책특별위원회, 미래전략특별위원회, 행정자치위원회",초선,제17대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/TAJ3272G.jpg
6P39843O,역대의원,우홍구,禹弘矩,null,음,1928-05-21,null,민주당/신민당,경북 의성을/경북 의성군,지역구/지역구,null,"농림위원회/내무위원회, 상공위원회, 예산결산특별위원회, 농림위원회",재선,"제5대, 제7대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/6P39843O.jpg
QWX1835O,역대의원,우희창,禹熙昌,null,음,1926-05-18,null,민주당/민주당,충남 서천/충남 서천,지역구/지역구,null,국방위원회/외무위원회,재선,"제4대, 제5대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/QWX1835O.jpg
O681263O,역대의원,원광호,元光鎬,Won Kwang-hoo,음,1947-03-13,null,통일국민당,강원 원주시,지역구,null,"외무통일위원회, 국제경쟁력강화및경제제도개혁에관한특별위원회, 예산결산특별위원회, 농림수산위원회, 행정위원회, 상공자원위원회, 윤리특별위원회, 상공위원회",초선,제14대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/O681263O.jpg
OEL22041,역대의원,원세훈,元世勳,null,음,1988-00-00,null,민주자주연맹,서울 중구갑,지역구,null,null,초선,제2대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/OEL22041.jpg
QPC91602,역대의원,원용균,元容均,null,음,1892-12-24,null,대한독립촉성국민회,강원 횡성,지역구,null,null,초선,제헌,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/QPC91602.jpg
LTA6652H,역대의원,원용석,元容奭,null,음,1906-03-19,null,자유당,충남 당진을,지역구,null,null,초선,제4대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/LTA6652H.jpg
J2M9791M,역대의원,원용한,元容漢,null,음,1877-04-26,null,대동청년당,경기 여주,지역구,null,법제사법위원회,초선,제헌,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/J2M9791M.jpg
TZD17894,역대의원,원유철,元裕哲,WON YOOCHUL,양,1962-09-26,국회의원,무소속/새천년민주당/한나라당/새누리당/새누리당,경기 평택시갑/경기도 평택시갑/경기 평택시갑/경기 평택시갑/경기 평택시갑,지역구/지역구/지역구/지역구/지역구,null,"농림해양수산위원회, 법제사법위원회, 국회운영위원회, 농어민및도시영세민대책특별위원회, 재해대책특별위원회, 예산결산특별위원회, 행정자치위원회, 통상산업위원회, 내무위원회/국무총리(김석수)임명동의에관한인사청문특별위원회, 중앙선거관리위원회위원선출에관한인사청문특별위원회, 보훈특별위원회, 정치개혁특별위원회, 행정자치위원회/국방위원회, 독도영토수호대책특별위원회, 행정안전위원회, 민생안정대책특별위원회/국회운영위원회, 정보위원회, 지방자치발전 특별위원회, 외교통일위원회, 국무총리후보자(정홍원)에 관한 인사청문특별위원회, 외교통상통일위원회/국회운영위원회, 외교통일위원회, 정보위원회",5선,"제15대, 제16대, 제18대, 제19대, 제20대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/TZD17894.jpg
7Q415979,역대의원,원장길,元長吉,null,음,1901-12-02,null,대동청년당,강원 강릉갑,지역구,null,교통체신위원회,초선,제헌,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/7Q415979.jpg
T7P8695T,역대의원,원철희,元喆喜,Won Churll-hee,음,1938-06-29,국회의원,자유민주연합,충청남도 아산시,지역구,null,"재해대책특별위원회, 재정경제위원회, 예산결산특별위원회, 2010년세계박람회유치특별위원회, 기후변화협약대책특별위원회, 행정자치위원회, 인사청문특별위원회(헌재소장및재판관), 보건복지위원회, 인사청문특별위원회(대법관), 농림해양수산위원회",초선,제16대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/T7P8695T.jpg
6DG91769,역대의원,원혜영,元惠榮,WON HYEYOUNG,음,1951-09-27,국회의원/국회의원,민주당/열린우리당/통합민주당/민주통합당/더불어민주당,경기 부천시중구을/경기도 부천시오정구/경기 부천시오정구/경기 부천시오정구/경기 부천시오정구,지역구/지역구/지역구/지역구/지역구,null,"여성특별위원회, 환경노동위원회, 노동환경위원회, 국회운영위원회, 예산결산특별위원회, 환경보전대책특별위원회, 노동위원회/정무위원회, 예산결산특별위원회, 정보위원회, 국방위원회, 신행정수도의건설을위한특별조치법위헌결정후속대책및지역균형발전특별위원회, 미래전략특별위원회, 행정자치위원회/외교통상통일위원회, 국회운영위원회, 정보위원회, 환경노동위원회/남북관계 및 교류협력 발전 특별위원회, 정치쇄신 특별위원회, 외교통일위원회, 국회쇄신 특별위원회, 외교통상통일위원회/국무총리(정세균) 임명동의에 관한 인사청문특별위원회, 정치개혁 특별위원회, 정치개혁 특별위원회, 헌법개정 특별위원회, 정치발전 특별위원회, 윤리특별위원회, 외교통일위원회",5선,"제14대, 제17대, 제18대, 제19대, 제20대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/6DG91769.jpg
1EL35837,역대의원,원희룡,元喜龍,"WON, Hee-Ryong",음,1964-02-14,국회의원/국회의원,한나라당/한나라당/한나라당,서울특별시 양천구갑/서울특별시 양천구갑/서울 양천구갑,지역구/지역구/지역구,null,"정치개혁특별위원회, 국무총리후보자(고건)에관한인사청문특별위원회, 2010년평창동계올림픽유치특별위원회, 재해대책특별위원회, 법제사법위원회, 예산결산특별위원회, 최근일련의언론사태진상규명을위한국정조사특별위원회, 한빛은행대출관련의혹사건등의진상조사를위한국정조사특별위원회, 재정경제위원회, 과학기술정보통신위원회, 국무총리이한동임명동의에관한인사청문특별위원회, 국회운영위원회, 윤리특별위원회, 국회상임위원회위원정수에관한규칙개정특별위원회/산업자원위원회, 재정경제위원회, 기후변화협약대책특별위원회, 국회개혁특별위원회, 통일외교통상위원회/환경노동위원회, 외교통상통일위원회, 기후변화대책특별위원회, 정치개혁특별위원회, 기후변화대책특별위원회, 미래전략 및 과학기술특별위원회, 지식경제위원회",3선,"제16대, 제17대, 제18대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/1EL35837.jpg
4D93608C,역대의원,원희목,元喜睦,Won Hee Mok,양,1954-06-10,null,한나라당,비례대표,비례대표,null,"정치개혁특별위원회, 보건복지위원회, 국회운영위원회, 규제개혁특별위원회, 보건복지가족위원회",초선,제18대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/4D93608C.jpg
RQQ3807K,현직의원,위성곤,魏聖坤,WI SEONGGON,음,1968-01-20,위원,더불어민주당/더불어민주당/더불어민주당,제주 서귀포시/제주 서귀포시/제주 서귀포시,지역구/지역구/지역구,"행정안전위원회, 기후위기 특별위원회","행정안전위원회, 기후위기 특별위원회",3선,"제20대, 제21대, 제22대",남,02-784-6450,wishjeju@hanmail.net,null,권민철,"김형자, 이선정","이우형, 허은진, 윤보미, 김수빈, 황석진",제20&middot;21&middot;22대 국회의원 더불어민주당 탄소중립위원회 위원장 더불어민주당 서귀포시지역위원회 지역위원장  더불어민주당 원내정책수석부대표(前) 국회 농림축산식품해양수산위원회 위원장 직무대리(前) 국회 농림축산식품해양수산위원회 간사(前) 국회 기후위기특별위원회 간사(前) 더불어민주당 정책위원회 제5정책조정위원장(前) 더불어민주당 전국농어민위원장(前) 더불어민주당 원내부대표(前) 더불어민주당 정책위원회 부의장(前) 을지키는민생실천위원회 운영위원(前),의원회관 919호,https://www.assembly.go.kr/static/portal/img/openassm/new/26841957c287473db75fad6182189804.jpg
T9E37304,역대의원,위성락,魏聖洛,WI SUNGLAC,양,1954-09-14,null,더불어민주연합,비례대표,비례대표,null,"외교통일위원회, 정보위원회",초선,제22대,남,null,null,null,null,null,null,- 서울대학교 외교학과 - 前주러시아대사관 대사 - 前외교부 한반도평화교섭본부 본부장 겸 6자회담 수석대표 - 前주미국대사관 정무공사 - 前재단법인 한반도평화만들기 사무총장 - 前서울대학교 정치외교학부 객원교수,null,https://www.assembly.go.kr/static/portal/img/openassm/T9E37304.jpg
9L57027L,역대의원,유경준,兪京濬,YOO GYEONGJOON,음,1961-06-17,null,미래통합당,서울 강남구병,지역구,null,null,초선,제21대,남,null,null,null,null,null,null,[학력]   &middot; 부산 해동고등학교   &middot; 서울대학교 경제학과 학사     &middot; 고려대학교 대학원 경제학 석사    &middot; 미국 코넬대학교 경제학 박사  [경력]   &middot; (2023.10~현재)       국민의힘 정책위원회 부의장   &middot; (2023.06~현재)       제21대 국회연금개혁특별위원회 간사   &middot; (2023.02~현재)       제21대 국회인구위기특별위원회 위원   &middot; (2022.03~현재)       제21대 국회2030부산세계박람회 유치지원 특별위원회 위원   &middot; (2022.08~2023.08)  국민의힘 서울특별시당 위원장   &middot; (2022.07~현재)       제21대 국회 국토교통위원회 위원   &middot; (2022.07~현재)       제21대 국회 국토교통위원회 국토법안심사소위원회 위원    &middot; (2021.06~현재)       국민의힘 가상자산특별위원회 위원   &middot; (2022.05)               국민의힘 서울시장 총괄선거대책본부장   &middot; (2020.03~2022.05)   국민의힘 서울시당 공천관리위원장    &middot; (2021.11~2022)      국민의힘 서울특별시당 서울정책연구원 원장   &middot; (2021.03)               국민의힘 서울시장 선거대책위원회 총괄선대본부장   &middot; (2021.02  )             국민의힘 부동산공시가격검증센터 센터장   &middot; (2020.11~2022.7)     국민의힘 서울특별시당 수석부위원장   &middot; (2020.07~2022.7)     제21대 국회 기획재정위원회 조세소위원회 위원         &middot; (2020.07~2022.7)     제21대 국회 기획재정위원회 위원   &middot; (2020.09~)             제21대 국회의원(서울시 강남구병/국민의힘)    &middot; (2020.05~2020.09)   제21대 국회의원(서울시 강남구병/미래통합당)    &middot; (2020.05~2020.09)   미래통합당 서울시당 강남(병) 당협위원장    &middot; (전) 제31대 한국노동경제학회 회장   &middot; (전) 한국기술교육대학교 인력개발전문대학원장   &middot; (전) 제15대 통계청장   &middot; (전) 한국기술교육대학교 교수   &middot; (전) 최저임금심의위원회 공익위원   &middot; (전) KDI 국제정책대학원 교수   &middot; (전) KDI 재정복지정책연구부장   &middot; (전) KDI 인적자원정책연구부장   &middot; (전) KDI 수석이코노미스트   &middot; (전) 국민경제자문회의 위원   &middot; (전) 중앙노동위원회 공익위원   &middot; (전) KDI 재정&middot;사회정책연구부장   &middot; (전) 고용노동부장관 자문관   &middot; (전) KDI 선임연구위원    &middot; (전) KDI 재정성과평가실장   &middot; (전) 미국 코넬대학교 초빙교수   &middot; (전) KDI 공공투자관리센터 정책연구실장   &middot; (전) KDI 연구위원   &middot; (전) 한국노동연구원 부연구위원,null,https://www.assembly.go.kr/static/portal/img/openassm/9L57027L.jpg
U0P6310P,역대의원,유경현,柳瓊賢,"You, Kyung-hyun",음,1939-08-07,null,민주공화당/민주정의당/민주정의당,"전남 순천시,구례,승주군/전남 순천시,구례,승주군/전남 순천시,구례,승주군",지역구/지역구/지역구,null,"건설위원회/경제과학위원회, 국회운영위원회, 재무위원회, 국회상임위원회위원정수에관한규칙개정특별위원회/헌법개정특별위원회, 예산결산특별위원회, 재무위원회",3선,"제10대, 제11대, 제12대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/U0P6310P.jpg
V8L2960H,역대의원,유광열,柳光烈,null,음,1829-06-27,null,무소속,경기 고양시,지역구,null,농림위원회,초선,제5대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/V8L2960H.jpg
I0M2449K,역대의원,유광현,柳光鉉,null,음,1927-08-14,null,민주공화당/민주공화당,전북 남원/전북 남원,지역구/지역구,null,"건설위원회/예산결산특별위원회, 건설위원회",재선,"제6대, 제7대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/I0M2449K.jpg
YTA2960J,역대의원,유기수,劉奇洙,null,음,1908-02-23,null,무소속,강원 정선,지역구,null,"국회운영위원회, 보건사회위원회",초선,제4대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/YTA2960J.jpg
M9I4775W,역대의원,유기수,劉基洙,You Kee-soo,음,1941-12-03,null,신민주공화당,서울 구로구을,지역구,null,"재무위원회, 예산결산특별위원회, 노동위원회, 국회운영위원회, 행정위원회",초선,제13대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/M9I4775W.jpg
V7K7900L,역대의원,유기정,柳琦諪,null,음,1922-01-06,null,민주공화당/민주공화당/민주공화당,"전북 완주군/전북 전주시,완주군/전북 전주시,완주군",지역구/지역구/지역구,null,"경제의안정과성장에관한긴급명령심사특별위원회, 상공위원회/예산결산특별위원회, 상공위원회/상공위원회",3선,"제8대, 제9대, 제10대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/V7K7900L.jpg
CAL85655,역대의원,유기준,兪奇濬,YOO KIJUNE,음,1959-08-10,국회의원,한나라당/무소속/새누리당/새누리당,부산광역시 서구/부산 서구/부산 서구/부산 서구동구,지역구/지역구/지역구/지역구,null,"중앙선거관리위원회위원(유승삼,제갈융우)선출에관한인사청문특별위원회, 대법관(김지형)임명동의에관한인사청문특별위원회, 대법관(박시환)임명동의에관한인사청문특별위원회, 투명사회협약실천특별위원회, 농림해양수산위원회, 국회운영위원회, 행정자치위원회/기후변화대응·녹색성장특별위원회, 외교통상통일위원회, 기후변화대책특별위원회, 정치개혁특별위원회, 기후변화대책특별위원회, 농림수산식품위원회, 예산결산특별위원회, 감사원장(김황식)임명동의에관한인사청문특별위원회/외교통일위원회, 국가정보원등 국가기관의 정치적 중립성 강화를 위한 제도개선 특별위원회, 사법제도개혁 특별위원회, 국방위원회/사법개혁 특별위원회, 헌법재판소장(김이수) 임명동의에 관한 인사청문특별위원회, 외교통일위원회, 산업통상자원위원회",4선,"제17대, 제18대, 제19대, 제20대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/CAL85655.jpg
K4Q81564,역대의원,유기준,兪棋濬,Yoo Ki-jun,음,1924-12-18,null,통일민주당,경기 광주군,지역구,null,"대전국제무역산업박람회지원특별위원회, 지역감정해소특별위원회, 상공위원회",초선,제13대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/K4Q81564.jpg
TXU99386,역대의원,유기천,劉基天,You Key-chun,음,1927-04-06,null,민주정의당,null,전국구,null,"문교체육위원회, 5.18광주민주화운동진상조사특별위원회, 통일정책특별위원회, 행정위원회",초선,제13대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/TXU99386.jpg
8FC9697X,역대의원,유기홍,柳基洪,YOO KIHONG,음,1958-06-11,국회의원,열린우리당/민주통합당/더불어민주당,서울특별시 관악구갑/서울 관악구갑/서울 관악구갑,지역구/지역구/지역구,null,null,3선,"제17대, 제19대, 제21대",남,null,null,null,null,null,null,- 학력 서울대학교 국사학과 졸업  - 경력 17&middot;19&middot;21대 국회의원(서울 관악갑) 더불어민주당 교육특별위원회 위원장 김대중재단 상임기획위원회 부위원장 노무현재단 기획위원 5&middot;18 광주민주화운동 국가유공자 대한민국임시정부기념사업회 이사 21대 국회 교육위원회 위원장(前) 미래교육희망 이사장(前) 더불어민주당 중앙당선거관리위원회 위원장(前) 더불어민주당 조직강화특별위원회 위원(前) 새정치민주연합 수석대변인(前) 19대 국회 교육문화체육관광위원회 간사(前) 국민의 정부 청와대 정책기획실 국장(前) 민주화운동청년연합 의장(前),null,https://www.assembly.go.kr/static/portal/img/openassm/8FC9697X.jpg
BUA6864N,역대의원,유대운,劉大運,YOU Dae Woon,음,1950-01-10,null,민주통합당,서울 강북구을,지역구,null,"중앙선거관리위원회 위원(김태현) 선출에 관한 인사청문특별위원회, 국회운영위원회, 지방자치발전 특별위원회, 예산결산특별위원회, 공공의료 정상화를 위한 국정조사특별위원회, 예산·재정개혁 특별위원회, 안전행정위원회, 지방재정 특별위원회, 행정안전위원회",초선,제19대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/BUA6864N.jpg
ZI941247,역대의원,유덕천,柳德天,null,음,1905-00-00,null,무소속,경남 진주,지역구,null,농림위원회,초선,제2대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/ZI941247.jpg
GX38539O,현직의원,유동수,柳東秀,YOO DONGSOO,양,1961-09-18,위원,더불어민주당/더불어민주당/더불어민주당,인천 계양구갑/인천 계양구갑/인천 계양구갑,지역구/지역구/지역구,정무위원회,정무위원회,3선,"제20대, 제21대, 제22대",남,02-784-3543,newds61@naver.com,http://blog.naver.com/newds61,"김기석, 허호인",김성광,"최해룡, 나규미, 최수정, 김바다, 도재훈","1961년 전북 부안 출생  연세대학교 상경대학 경영학과 졸업 공인회계사  [현]제20&middot;21&middot;22대 국회의원(더불어민주당, 인천계양구갑) [현]국회 정무위원회 위원  [전]더불어민주당 원내정책수석부대표 [전]21대국회 기획재정위원회 더불어민주당 간사 &middot; 경제재정소위 위원장 [전]더불어민주당 정책위원회 수석부의장 [전]더불어민주당 인천광역시당위원장 [전]예산결산특별위원회 예산안조정소위원회 위원 [전]더불어민주당 원내부대표 [전]국회 정무위원회 더불어민주당 간사 &middot; 법안심사제1소위원회 위원장 [전]국회 산업통상자원중소벤처기업위원회 위원 [전]더불어민주당 국가경제자문회의 거시경제 금융분과위 위원장 [전]더불어민주당 자본시장활성화 특별위원회 위원 [전]인천도시공사 상임감사",의원회관 810호,https://www.assembly.go.kr/static/portal/img/openassm/new/a3a3255943634cd6ade1fa08d7e19144.png
SG236255,역대의원,유래완,柳來琬,null,음,1889-05-12,null,무소속,경기 양평,지역구,null,null,초선,제헌,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/SG236255.jpg
I5V5327I,역대의원,유민봉,庾敏鳳,YOU MINBONG,양,1958-01-09,null,새누리당,비례대표,비례대표,null,"외교통일위원회, 공공부문 채용비리 의혹과 관련된 국정조사특별위원회, 4차 산업혁명 특별위원회, 여성가족위원회, 헌법개정 및 정치개혁 특별위원회, 4차 산업혁명 특별위원회, 행정안전위원회, 지방재정·분권 특별위원회, 안전행정위원회",초선,제20대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/I5V5327I.jpg
9IE2004M,역대의원,유민상,劉敏相,null,음,1921-07-12,null,유신정우회,null,통일주체국민회의,null,"경제과학위원회, 국회상임위원회위원정수에관한규칙중개정안기초특별위원회",초선,제9대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/9IE2004M.jpg
8GH5034N,역대의원,유범수,柳凡秀,null,음,1927-03-28,null,민주공화당,전북 완주,지역구,null,"교통체신위원회, 예산결산특별위원회, 외무위원회, 특별국정감사특별위원회, 내무위원회",초선,제7대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/8GH5034N.jpg
Z2X38669,역대의원,유봉순,兪鳳淳,null,음,1919-01-07,null,무소속/자유당,경남 합천군갑/경남 합천갑,지역구/지역구,null,내무위원회/내무위원회,재선,"제3대, 제4대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/Z2X38669.jpg
